resolution,leiden_key,sctype_key,n_clusters,silhouette,calinski_harabasz,davies_bouldin,method
0.4,leiden_pca_res0_4,sctype_pca_res0_4,9,0.01208210363984108,447.799072265625,1.5171692462463562,PCA
0.6,leiden_pca_res0_6,sctype_pca_res0_6,10,0.05133727192878723,555.0990600585938,1.5051266382236488,PCA
0.8,leiden_pca_res0_8,sctype_pca_res0_8,13,0.03483141213655472,412.09344482421875,1.5532269878436293,PCA
1.0,leiden_pca_res1_0,sctype_pca_res1_0,14,0.04508056119084358,449.5873107910156,1.5429038494660112,PCA
1.2,leiden_pca_res1_2,sctype_pca_res1_2,16,0.04457211494445801,418.7583312988281,1.6326576180500068,PCA
0.4,leiden_svae_res0_4,sctype_svae_res0_4,5,0.20838120579719543,1046.9644775390625,1.466633941039469,sVAE
0.6,leiden_svae_res0_6,sctype_svae_res0_6,6,0.1631346046924591,899.0215454101562,1.9856884642904642,sVAE
0.8,leiden_svae_res0_8,sctype_svae_res0_8,8,0.11873578280210495,713.772216796875,2.17757845529818,sVAE
1.0,leiden_svae_res1_0,sctype_svae_res1_0,9,0.10827595740556717,671.225830078125,2.414762899977072,sVAE
1.2,leiden_svae_res1_2,sctype_svae_res1_2,10,0.09781593084335327,623.8572387695312,2.333270327401096,sVAE
0.4,leiden_cvae_res0_4,sctype_cvae_res0_4,6,0.1620766818523407,778.90185546875,1.846925055920675,cVAE
0.6,leiden_cvae_res0_6,sctype_cvae_res0_6,6,0.16297437250614166,783.917724609375,1.8651893202830436,cVAE
0.8,leiden_cvae_res0_8,sctype_cvae_res0_8,7,0.14048583805561066,700.8224487304688,2.0838154408031424,cVAE
1.0,leiden_cvae_res1_0,sctype_cvae_res1_0,9,0.09688377380371094,583.5537109375,2.4360928240104176,cVAE
1.2,leiden_cvae_res1_2,sctype_cvae_res1_2,9,0.0975566878914833,586.0411987304688,2.4816332444060762,cVAE
